6 1203S007330025000   0211XS745615      
6A0616S002110025000   0211ZD035032      
6A0616S007110025000   0211AT895538      
6A0616S008110025000   0211AT995677      
660806L115330025003   0  4XS730980      
660806L115430025000   0  1XS300300      
660806L115430025001   0  2XS300400      
660806L115430025002   0  3XS400400      
660806L115430025003   0  4XS400300      
660806L116330025000   0  1YS000960      
660806L116330025001   0  2XS960910      
660806L116330025002   0  3XS960960      
660806L116330025003   0  4YS000920      
660806L116430025000   0  1WS980438      
660806L116430025001   0  2XS000423      
660806L116430025002   0  3XS020460      
660806L116430025003   0  4WS980460      
660806L117330025000   0  1XS770835      
660806L117330025001   0  2XS795795      
660806L117330025002   0  3XS780796      
660806L117330025003   0  4XS785835      
660806L117430025000   0  1XS212340      
660806L117430025001   0  2XS210180      
660806L117430025002   0  3XS180190      
660806L117430025003   0  4XS140340      
660806L118330025000   0  1XS723823      
660806L118330025001   0  2XS745915      
660806L118330025002   0  3XS690920      
660806L118330025003   0  4XS682854      
660806L118430025000   0  1XS212330      
660806L118430025001   0  2XS210180      
660806L118430025002   0  3XS180190      
660806L118430025003   0  4XS140340      
660806L119430025000   0  1WS960339      
660806L119430025001   0  2XS020250      
660806L119430025002   0  3WS980175      
660806L119430025003   0  4WS925253      
660806L120430025000   0  1WR754837      
660806L120430025001   0  2XS000990      
660806L120430025002   0  3XS000837      
660806L120430025003   0  4WR754990      
660806L121430025000   0  1WR400700      
660806L121430025001   0  2WR600900      
660806L121430025002   0  3WR600700      
660806L121430025003   0  4WR400900      
660806L122430025000   0  1WR850730      
660806L122430025001   0  2WR980730      
660806L122430025002   0  3WR940790      
660806L122430025003   0  4WR900660      
660806L123430025000   0  1WS570060      
660806L123430025001   0  2WS770260      
660806L123430025002   0  3WS770060      
660806L123430025003   0  4WS570260      
660813L201110025000   0  1AT975600      
660813L201110025001   0  2AT844700      
660813L201110025002   0  3AT884300      
660813L201110025003   0  4AT015000      
660813L201130025000   0  1YD474500      
660813L201130025001   0  2YD450465      
660813L201130025002   0  3YD475420      
660813L201130025003   0  4YF510475      
660813L201210025000   0  1BR623300      
660813L201210025001   0  2BR332500      
660813L201210025002   0  3BR281840      
660813L201210025003   0  4BR686500      
660813L201220025000   0  1BR914800      
660813L201220025001   0  2CR083200      
660813L201220025002   0  3CR003200      
660813L201220025003   0  4CR114600      
660813L201230025000   0  1ZB080130      
660813L201230025001   0  2ZB160000      
660813L201230025002   0  3ZB090060      
660813L201230025003   0  4ZB160145      
660813L201310025000   0  1XT861100      
660813L201310025001   0  2XT832000      
660813L201310025002   0  3XT902000      
660813L201310025003   0  4XT921000      
660813L201320025000   0  1YS447500      
660813L201320025001   0  2YS447300      
660813L201320025002   0  3YS477300      
660813L201320025003   0  4YS477500      
660813L201330025000   0  1XT800960      
660813L201330025001   0  2XU800060      
660813L201330025002   0  3XU740060      
660813L201330025003   0  4XT740960      
660813L201430025000   0  1WR860730      
660813L201430025001   0  2WR870800      
660813L201430025002   0  3WR940800      
660813L201430025003   0  4WR953660      
660813L202110025000   0  1AT842900      
660813L202110025001   0  2BT282500      
660813L202110025002   0  3BT084600      
660813L202110025003   0  4AT881900      
660813L202130025000   0  1YD116590      
660813L202130025001   0  2YD080700      
660813L202130025002   0  3YD217627      
660813L202130025003   0  4YD190740      
660813L202210025000   0  1YA546000      
660813L202210025001   0  2ZV927000      
660813L202210025002   0  3YV827000      
660813L202210025003   0  4ZA226000      
660813L202220025000   0  1BN639100      
660813L202220025001   0  2BN836200      
660813L202220025002   0  3BN998700      
660813L202220025003   0  4BN779700      
660813L202230025000   0  1BS894080      
660813L202230025001   0  2BS914100      
660813L202230025002   0  3BS910080      
660813L202230025003   0  4BS900100      
660813L202310025000   0  1XU602000      
660813L202310025001   0  2XT404800      
660813L202310025002   0  3XT863800      
660813L202310025003   0  4XU862000      
660813L202330025000   0  1XU620000      
660813L202330025001   0  2XU720200      
660813L202330025002   0  3XU720000      
660813L202330025003   0  4XU620200      
660813L202430025000   0  1WS700590      
660813L202430025001   0  2WS630600      
660813L202430025002   0  3WS610660      
660813L202430025003   0  4WS700660      
660813L203110025000   0  1XD946600      
660813L203110025001   0  2YD226300      
660813L203110025002   0  3YD207500      
660813L203110025003   0  4XD944900      
660813L203130025000   0  1YD838190      
660813L203130025001   0  2YD858190      
660813L203130025002   0  3YD838210      
660813L203210025000   0  1CQ055400      
660813L203210025001   0  2CQ291800      
660813L203210025002   0  3CQ023400      
660813L203210025003   0  4CQ155400      
660813L203220025000   0  1BR564800      
660813L203220025001   0  2BN836200      
660813L203220025002   0  3BN998700      
660813L203220025003   0  4BN779700      
660813L203230025000   0  1BR890560      
660813L203230025001   0  2BR950570      
660813L203230025002   0  3BR950590      
660813L203230025003   0  4BR910590      
660813L203310025000   0  1XT815000      
660813L203310025001   0  2YT882400      
660813L203310025002   0  3YT152800      
660813L203310025003   0  4YT094800      
660813L203330025000   0  1XT860130      
660813L203330025001   0  2XT860050      
660813L203330025002   0  3ZT940050      
660813L203330025003   0  4ZT940130      
660813L203430025000   0  1XR425690      
660813L203430025001   0  2XR440630      
660813L203430025002   0  3XR500650      
660813L203430025003   0  4XR486690      
660813L204110025000   0  1AT986200      
660813L204110025001   0  2AT986100      
660813L204110025002   0  3AT996300      
660813L204110025003   0  4AT996100      
660813L204130025000   0  1YD460480      
660813L204130025001   0  2YD690320      
660813L204130025002   0  3YD520450      
660813L204130025003   0  4YD625305      
660813L204220025000   0  1YA546000      
660813L204220025001   0  2ZV927000      
660813L204220025002   0  3YV827000      
660813L204220025003   0  4ZA226000      
660813L204230025000   0  1ZA000200      
660813L204230025001   0  2ZA200400      
660813L204230025002   0  3ZA200000      
660813L204230025003   0  4ZA000400      
660813L204310025000   0  1XT055900      
660813L204310025001   0  2XT055300      
660813L204310025002   0  3XT553300      
660813L204310025003   0  4XT475200      
660813L204330025000   0  1XT800150      
660813L204330025001   0  2XT770240      
660813L204330025002   0  3XT780260      
660813L204330025003   0  4XT750140      
660813L204430025000   0  1XS298595      
660813L204430025001   0  2XS215551      
660813L204430025002   0  3XS225555      
660813L204430025003   0  4XS207595      
660813L205110025000   0  1VT077000      
660813L205110025001   0  2BT076700      
660813L205110025002   0  3BT116500      
660813L205110025003   0  4BT096900      
660813L205130025000   0  1BT025365      
660813L205130025001   0  2BT030330      
660813L205130025002   0  3BT010365      
660813L205130025003   0  4BT040365      
660813L205220025000   0  1CQ055400      
660813L205220025001   0  2CQ291800      
660813L205220025002   0  3CQ023400      
660813L205220025003   0  4CQ155400      
660813L205230025000   0  1ZV205075      
660813L205230025001   0  2ZV175050      
660813L205230025002   0  3ZV150075      
660813L205230025003   0  4ZV185090      
660813L205310025000   0  1XT342400      
660813L205310025001   0  2XT331500      
660813L205310025002   0  3XS479900      
660813L205310025003   0  4XT621300      
660813L205330025000   0  1YS260450      
660813L205330025001   0  2YT000120      
660813L205330025002   0  3YS000990      
660813L205330025003   0  4YS120840      
660813L205430025000   0  1WR700980      
660813L205430025001   0  2WS800020      
660813L205430025002   0  3WR800950      
660813L205430025003   0  4WR725960      
660813L206130025000   0  1BT120570      
660813L206130025001   0  2BT140505      
660813L206130025002   0  3BT105505      
660813L206130025003   0  4BT090547      
660813L206230025000   0  1AQ805000      
660813L206230025001   0  2BQ000195      
660813L206230025002   0  3BQ000000      
660813L206230025003   0  4AQ805195      
660813L206310025000   0  1XT453500      
660813L206310025001   0  2XT392500      
660813L206310025002   0  3XT740700      
660813L206310025003   0  4XT801500      
660813L206330025000   0  1XS560700      
660813L206330025001   0  2XS560660      
660813L206330025002   0  3XS600700      
660813L206330025003   0  4XS600660      
660813L206430025000   0  1WS760035      
660813L206430025001   0  2WR800980      
660813L206430025002   0  3WS810015      
660813L206430025003   0  4WS815045      
660813L207130025000   0  1BS622595      
660813L207130025001   0  2BS735665      
660813L207130025002   0  3BS730720      
660813L207130025003   0  4BS670720      
660813L207230025000   0  1BP960910      
660813L207230025001   0  2CP060910      
660813L207230025002   0  3CP060860      
660813L207230025003   0  4BP960860      
660813L207310025000   0  1XT763800      
660813L207310025001   0  2XT772700      
660813L207310025002   0  3XT792000      
660813L207310025003   0  4XT783800      
660813L207330025000   0  1XS690820      
660813L207330025001   0  2XS660730      
660813L207330025002   0  3XS735787      
660813L207330025003   0  4XS630788      
660813L207430025000   0  1WS090100      
660813L207430025001   0  2WS185100      
660813L207430025002   0  3WS200065      
660813L207430025003   0  4WS180190      
660813L208130025000   0  1BS700590      
660813L208130025001   0  2BS720610      
660813L208130025002   0  3BS720590      
660813L208130025003   0  4BS700610      
660813L208230025000   0  1ZT100680      
660813L208230025001   0  2ZT300880      
660813L208230025002   0  3ZT300680      
660813L208230025003   0  4ZT100880      
660813L208310025000   0  1YT591600      
660813L208310025001   0  2YS678300      
660813L208310025002   0  3YS928300      
660813L208310025003   0  4YT920400      
660813L208330025000   0  1XS740700      
660813L208330025001   0  2XS700620      
660813L208330025002   0  3XS850700      
660813L208330025003   0  4XS810610      
660813L208430025000   0  1WS360007      
660813L208430025001   0  2WS358930      
660813L208430025002   0  3WS425950      
660813L208430025003   0  4WS420030      
660813L209130025000   0  1BT910320      
660813L209130025001   0  2BT140420      
660813L209130025002   0  3BT080320      
660813L209130025003   0  4BT020440      
660813L209230025000   0  1ZT110820      
660813L209230025001   0  2ZT140820      
660813L209230025002   0  3ZT140790      
660813L209230025003   0  4ZT110700      
660813L209310025000   0  1XT785500      
660813L209310025001   0  24T763800      
660813L209310025002   0  3XT783800      
660813L209310025003   0  4XT805500      
660813L209330025000   0  1XT526044      
660813L209330025001   0  2XT529082      
660813L209330025002   0  3XT510080      
660813L209330025003   0  4XT554052      
660813L209430025000   0  1XS397492      
660813L209430025001   0  2XS413427      
660813L209430025002   0  3XS430430      
660813L209430025003   0  4XS433467      
660813L210130025000   0  1BT000490      
660813L210130025001   0  2BT044490      
660813L210130025002   0  3BT030506      
660813L210130025003   0  4BT000410      
660813L210230025000   0  1BQ230760      
660813L210230025001   0  2BQ440630      
660813L210230025002   0  3BQ300590      
660813L210230025003   0  4BQ280780      
660813L210310025000   0  1XT712000      
660813L210310025001   0  2XT711300      
660813L210310025002   0  3XT751300      
660813L210310025003   0  4XT752000      
660813L210330025000   0  1XT450050      
660813L210330025001   0  2XS526946      
660813L210330025002   0  3XS525990      
660813L210330025003   0  4XT513074      
660813L210430025000   0  1XS015416      
660813L210430025001   0  2WS986357      
660813L210430025002   0  3WS980410      
660813L210430025003   0  4XS060410      
660813L211130025000   0  1YD955155      
660813L211130025001   0  2YD975175      
660813L211130025002   0  3YD975155      
660813L211130025003   0  4YD955175      
660813L211230025000   0  1AN600100      
660813L211230025001   0  2AN880300      
660813L211230025002   0  3AN880100      
660813L211230025003   0  4AN600300      
660813L211330025000   0  1XT646815      
660813L211330025001   0  2XT440229      
660813L211330025002   0  3XT500450      
660813L211330025003   0  4XT550600      
660813L211430025000   0  1XS230500      
660813L211430025001   0  2XS340507      
660813L211430025002   0  3XS340470      
660813L211430025003   0  4XS240430      
660813L212130025000   0  1BT020850      
660813L212130025001   0  2BT040650      
660813L212130025002   0  3BT040850      
660813L212130025003   0  4BT020650      
660813L212230025000   0  1AS795095      
660813L212230025001   0  2AR770920      
660813L212230025002   0  3AR810930      
660813L212230025003   0  4AS840090      
660813L212330025000   0  1XT490200      
660813L212330025001   0  2XT550150      
660813L212330025002   0  3XT550180      
660813L212330025003   0  4XT490150      
660813L212430025000   0  1XS180590      
660813L212430025001   0  2XS230520      
660813L212430025002   0  3XS230500      
660813L212430025003   0  4XS180610      
660813L213230025000   0  1CQ060390      
660813L213230025001   0  2CQ040490      
660813L213230025002   0  3CQ050650      
660813L213230025003   0  4CQ030380      
660813L213330025000   0  1XT860001      
660813L213330025001   0  2XS880960      
660813L213330025002   0  3XT950920      
660813L213330025003   0  4XT810002      
660813L213430025000   0  1XS345465      
660813L213430025001   0  2XS365485      
660813L213430025002   0  3XS365465      
660813L213430025003   0  4XS345485      
660813L214230025000   0  1YU920800      
660813L214230025001   0  2YU940820      
660813L214230025002   0  3YU940800      
660813L214230025003   0  4YU920820      
660813L214330025000   0  1XT705940      
660813L214330025001   0  2XT725960      
660813L214330025002   0  3XT725940      
660813L214330025003   0  4XT705960      
660813L214430025000   0  1WS110510      
660813L214430025001   0  2WS120450      
660813L214430025002   0  3WS170520      
660813L214430025003   0  4WS170450      
660813L215230025000   0  1ZA190660      
660813L215230025001   0  2ZA220680      
660813L215230025002   0  3ZA220660      
660813L215230025003   0  4ZA190680      
660813L215330025000   0  1XS640910      
660813L215330025001   0  2XT710010      
660813L215330025002   0  3XT680020      
660813L215330025003   0  4XS660930      
660813L215430025000   0  1XS080320      
660813L215430025001   0  2XS100340      
660813L215430025002   0  3XS100320      
660813L215430025003   0  4XS080390      
660813L216230025000   0  1BS770090      
660813L216230025001   0  2BS790110      
660813L216230025002   0  3BS790090      
660813L216230025003   0  4BS770110      
660813L216330025000   0  1XS610758      
660813L216330025001   0  2XS572700      
660813L216330025002   0  3XS628742      
660813L216330025003   0  4XS631700      
660813L216430025000   0  1WS900150      
660813L216430025001   0  2XS010020      
660813L216430025002   0  3XS010150      
660813L216430025003   0  4WS900090      
660813L217230025000   0  1ZA140240      
660813L217230025001   0  2ZA160260      
660813L217230025002   0  3ZA160240      
660813L217230025003   0  4ZA140260      
660813L217330025000   0  1XT650020      
660813L217330025001   0  2XS650950      
660813L217330025002   0  3XS590940      
660813L217430025000   0  1WS470150      
660813L217430025001   0  2WR650980      
660813L217430025002   0  3WR470980      
660813L217430025003   0  4WS650150      
660813L218230025000   0  1CP000860      
660813L218230025001   0  2CP090810      
660813L218230025002   0  3CP080860      
660813L218230025003   0  4CP000810      
660813L218330025000   0  1XT514074      
660813L218330025001   0  2XT540075      
660813L218330025002   0  3XT434110      
660813L218330025003   0  4XT530110      
660813L218430025000   0  1WR420645      
660813L218430025001   0  2WR440700      
660813L218430025002   0  3WR440680      
660813L218430025003   0  4WR420700      
660813L219330025000   0  1YS770805      
660813L219330025001   0  2YS790825      
660813L219330025002   0  3YS790805      
660813L219330025003   0  4YS770825      
660813L219430025000   0  1WR500800      
660813L219430025001   0  2WS830850      
660813L219430025002   0  3WR750900      
660813L219430025003   0  4WR600850      
660813L220330025000   0  1XT970230      
660813L220330025001   0  2YT020260      
660813L220330025002   0  3YT020240      
660813L220330025003   0  4XT910260      
660813L220430025000   0  1WR308748      
660813L220430025001   0  2WR227787      
660813L220430025002   0  3WR281782      
660813L220430025003   0  4WR306754      
660813L221330025000   0  1YS160970      
660813L221330025001   0  2YS280970      
660813L221330025002   0  3YS280880      
660813L221330025003   0  4YS160880      
660813L221430025000   0  1WR480780      
660813L221430025001   0  2WR500813      
660813L221430025002   0  3WR483820      
660813L221430025003   0  4WR470810      
660813L222330025000   0  1XS732823      
660813L222330025001   0  2XS745915      
660813L222330025002   0  3XS690920      
660813L222330025003   0  4XS682854      
660813L222430025000   0  1WR130160      
660813L222430025001   0  2WR130040      
660813L222430025002   0  3WR190110      
660813L222430025003   0  4WR190040      
660813L223330025000   0  1YT650453      
660813L223330025001   0  2YT670473      
660813L223330025002   0  3YT670453      
660813L223330025003   0  4YT650473      
660813L223430025000   0  1WS170883      
660813L223430025001   0  2WS223874      
660813L223430025002   0  3WS199800      
660813L223430025003   0  4WS165845      
660813L224330025000   0  1XS540855      
660813L224330025001   0  2XS940580      
660813L224330025002   0  3XS540580      
660813L224330025003   0  4XS940855      
660813L224430025000   0  1WS725020      
660813L224430025001   0  2WR745990      
660813L224430025002   0  3WR725990      
660813L224430025003   0  4WS745020      
660813L225330025000   0  1XT700350      
660813L225330025001   0  2XT920350      
660813L225330025002   0  3XT920040      
660813L225330025003   0  4XT700040      
660813L225430025000   0  1XS000450      
660813L225430025001   0  2XS090400      
660813L225430025002   0  3XS090460      
660813L225430025003   0  4XS000400      
660813L226430025000   0  1WR290140      
660813L226430025001   0  2WR310160      
660813L226430025002   0  3WR310140      
660813L226430025003   0  4WR290160      
660813L227430025000   0  1US900090      
660813L227430025001   0  2US970320      
660813L227430025002   0  3US855320      
660813L227430025003   0  4US950090      
660813L228430025000   0  1XS390520      
660813L228430025001   0  2X5410550      
660813L228430025002   0  3XS410520      
660813L228430025003   0  4XS390550      
660820L301110025000   0  1AT970560      
660820L301110025001   0  2AT840470      
660820L301110025002   0  3AT880430      
660820L301110025003   0  4BT010500      
660820L301130025000   0  1BT000510      
660820L301130025001   0  2BT020530      
660820L301130025002   0  3BT020510      
660820L301130025003   0  4BT000530      
660820L301210025000   0  1BR620330      
660820L301210025001   0  2BR330250      
660820L301210025002   0  3BR210840      
660820L301210025003   0  4BR680650      
660820L301220025000   0  1BR910480      
660820L301220025001   0  2CR080320      
660820L301220025002   0  3CR000320      
660820L301220025003   0  4CR110460      
660820L301230025000   0  1CP000860      
660820L301230025001   0  2CO090810      
660820L301230025002   0  3CP000860      
660820L301230025003   0  4CP000810      
660820L301310025000   0  1XT810500      
660820L301310025001   0  2XT880240      
660820L301310025002   0  3YT150280      
660820L301310025003   0  4XT090480      
660820L301320025000   0  1YS440750      
660820L301320025001   0  2YS440730      
660820L301320025002   0  3YS470730      
